Reservoir_name,Basin,Subbasin,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,01-06-2024,2024,6,346.25,0.835,0.15147,329.55
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,02-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,03-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,04-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,05-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,06-06-2024,2024,6,346.25,0.835,0.15027,329.5
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,07-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,08-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,09-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,10-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,11-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,12-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,13-06-2024,2024,6,346.25,0.835,0.14907,329.45
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,14-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,15-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,16-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,17-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,18-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,19-06-2024,2024,6,346.25,0.835,NA,NA
ATAL SAGAR(MADIKHEDA),Ganga Basin,Yamuna Lower,25.5555556,77.8527778,20-06-2024,2024,6,346.25,0.835,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,01-06-2024,2024,6,320.04,0.095,0.02144,306.873
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,02-06-2024,2024,6,320.04,0.095,0.02198,306.995
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,03-06-2024,2024,6,320.04,0.095,0.02238,307.086
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,04-06-2024,2024,6,320.04,0.095,0.02293,307.208
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,05-06-2024,2024,6,320.04,0.095,0.02327,307.284
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,06-06-2024,2024,6,320.04,0.095,0.02361,307.36
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,07-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,08-06-2024,2024,6,320.04,0.095,0.0241,307.467
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,09-06-2024,2024,6,320.04,0.095,0.02445,307.543
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,10-06-2024,2024,6,320.04,0.095,0.02471,307.604
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,11-06-2024,2024,6,320.04,0.095,0.02497,307.665
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,12-06-2024,2024,6,320.04,0.095,0.02531,307.741
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,13-06-2024,2024,6,320.04,0.095,0.02558,307.802
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,14-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,15-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,16-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,17-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,18-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,19-06-2024,2024,6,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,10.47266817,76.97459708,20-06-2024,2024,6,320.04,0.095,0.02679,308.061
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,01-06-2024,2024,6,519.6,3.105,0.102,507.95
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,02-06-2024,2024,6,519.6,3.105,0.098,507.91
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,03-06-2024,2024,6,519.6,3.105,0.094,507.87
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,04-06-2024,2024,6,519.6,3.105,0.09,507.83
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,05-06-2024,2024,6,519.6,3.105,0.086,507.79
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,06-06-2024,2024,6,519.6,3.105,0.083,507.76
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,07-06-2024,2024,6,519.6,3.105,0.086,507.79
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,08-06-2024,2024,6,519.6,3.105,0.091,507.84
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,09-06-2024,2024,6,519.6,3.105,0.106,507.99
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,10-06-2024,2024,6,519.6,3.105,0.115,508.07
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,11-06-2024,2024,6,519.6,3.105,0.166,508.54
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,12-06-2024,2024,6,519.6,3.105,0.183,508.69
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,13-06-2024,2024,6,519.6,3.105,0.193,508.78
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,14-06-2024,2024,6,519.6,3.105,0.215,508.96
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,15-06-2024,2024,6,519.6,3.105,0.246,509.22
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,16-06-2024,2024,6,519.6,3.105,0.264,509.36
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,17-06-2024,2024,6,519.6,3.105,0.274,509.44
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,18-06-2024,2024,6,519.6,3.105,0.301,509.65
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,19-06-2024,2024,6,519.6,3.105,0.313,509.74
Almatti Reservoir,Krishna Basin,Krishna Upper,16.34679294,75.73004306,20-06-2024,2024,6,519.6,3.105,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,01-06-2024,2024,6,72.6,0.339,0.09723,59.76
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,02-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,03-06-2024,2024,6,72.6,0.339,0.09554,59.61
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,04-06-2024,2024,6,72.6,0.339,0.09452,59.52
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,05-06-2024,2024,6,72.6,0.339,0.09429,59.5
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,06-06-2024,2024,6,72.6,0.339,0.09373,59.45
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,07-06-2024,2024,6,72.6,0.339,0.09295,59.38
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,08-06-2024,2024,6,72.6,0.339,0.09218,59.31
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,09-06-2024,2024,6,72.6,0.339,0.09142,59.24
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,10-06-2024,2024,6,72.6,0.339,0.09076,59.18
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,11-06-2024,2024,6,72.6,0.339,0.0901,59.12
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,12-06-2024,2024,6,72.6,0.339,0.08942,59.06
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,13-06-2024,2024,6,72.6,0.339,0.08874,59
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,14-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,15-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,16-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,17-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,18-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,19-06-2024,2024,6,72.6,0.339,NA,NA
BARVI DAM,West flowing rivers from Tapi to Tadri Basin,Bhatsol and others,19.1894444,73.3361111,20-06-2024,2024,6,72.6,0.339,NA,NA
BHAMA ASKHED,Krishna Basin,Bhima Upper,18.846055,73.688113,01-06-2024,2024,6,671.5,0.217,0.03557,654
BHAMA ASKHED,Krishna Basin,Bhima Upper,18.846055,73.688113,02-06-2024,2024,6,671.5,0.217,NA,NA
